cohort,model,train_cindex,cv_mean,cv_std,holdout_test_cindex
metabric,Cox PH,0.6447294366726378,0.6338223065063437,0.03256699154998528,0.6529282731645436
metabric,Random Survival Forest,0.7093921153189559,0.633476792972977,0.016297127540908885,0.6657725038321264
metabric,Gradient Boosting Survival,0.6989730613746665,0.6312389419832207,0.017924479511701907,0.665296791585179
tcga_brca,Cox PH,0.5790409089466502,0.4938682097229474,0.0731485052479644,
tcga_brca,Random Survival Forest,0.7295217239518867,0.5305778195856607,0.06923715275405358,
tcga_brca,Gradient Boosting Survival,0.6933415849439842,0.5344161858300016,0.05093025863992423,
