model,feature,importance_mean_cindex_drop,importance_std
Cox PH,age,-0.0007546334810114186,0.0017328743444236302
Cox PH,nodes_positive,0.08075146549556,0.008872263185079601
Cox PH,er_value,-0.0011656251813731977,0.001769497076753821
Cox PH,pr_value,0.0012923445994312333,0.0009709590662224469
Cox PH,menopause_post_1,-0.0012323705237090865,0.0024924077170274178
Cox PH,tumor_size_cat_<=20,0.02533094565574882,0.007323122082660682
Cox PH,tumor_size_cat_>50,0.00043311923233184667,0.0032654957986887607
Cox PH,grade_cat_3,0.011612964073594013,0.004800604337642906
Cox PH,hormone_therapy_1,0.0010784451237207393,0.0010204522467837525
Random Survival Forest,age,0.010214092940470942,0.003947612782870045
Random Survival Forest,nodes_positive,0.1183762502660141,0.01372204847769454
Random Survival Forest,er_value,-0.0016327216622491814,0.002841125814432665
Random Survival Forest,pr_value,0.007265448161117499,0.0028252022560369978
Random Survival Forest,menopause_post_1,-0.0009170229642670114,0.002000249796160661
Random Survival Forest,tumor_size_cat_<=20,0.011217933215964765,0.004837816159168135
Random Survival Forest,tumor_size_cat_>50,-0.0003753216351641109,0.002017875852509515
Random Survival Forest,grade_cat_3,0.006299091682949992,0.0029320834331394894
Random Survival Forest,hormone_therapy_1,0.0013420408597574374,0.0005689062059598695
