model,train_cindex,cv_mean,cv_std,external_gbsg2_cindex
Cox PH,0.667250552571326,0.6634846266906582,0.012020380536716339,0.6543262294096429
Elastic-Net Cox (alpha=0.0456),0.6704738730644579,0.6687379091422126,,0.6456767764819046
Random Survival Forest,0.7326901872205376,0.6791031465922232,0.00966524425989579,0.6717679151136227
Gradient Boosting Survival,0.7058087637533189,0.6778114995268607,0.008701532429982112,0.6693218708668991
