feature,coef,hazard_ratio
grade_cat_3,0.3312873258364506,1.3927599107295867
nodes_positive,0.3102650052818817,1.363786476868275
tumor_size_cat_>50,0.25992175730261,1.2968286153272122
menopause_post_1,0.10908431846021836,1.1152563830780142
age,0.031092926301420413,1.0315813604730977
er_value,0.030389484675089857,1.0308559583721235
pr_value,-0.030095089648238833,0.9703532586113532
hormone_therapy_1,-0.12728393995592524,0.8804836326168282
tumor_size_cat_<=20,-0.3193010519950021,0.7266567549079989
